TK_KATOIKIA,GRADE,COURSE
17121,1.1,Επιχειρησιακή Έρευνα & Logistics
18531,0.8,Στατιστική & Μοντέλα Αποφάσεων
71201,2.8,Συστήματα Βιώσιμων Μεταφορών
17671,6.1,Περιβαλλοντική Τεχνολογία & CO2
17343,9.8,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
10447,5.6,Επιχειρησιακή Έρευνα & Logistics
15771,0.5,Περιβαλλοντική Τεχνολογία & CO2
17343,0.1,Περιβαλλοντική Τεχνολογία & CO2
17121,5.5,Στατιστική & Μοντέλα Αποφάσεων
17671,2.8,Στατιστική & Μοντέλα Αποφάσεων
17671,9.4,Περιβαλλοντική Τεχνολογία & CO2
18120,5.2,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
15771,8.5,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
11521,0.3,Συστήματα Βιώσιμων Μεταφορών
12243,-,Περιβαλλοντική Τεχνολογία & CO2
12244,0.1,Επιχειρησιακή Έρευνα & Logistics
12133,3.2,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
17343,0.1,Επιχειρησιακή Έρευνα & Logistics
18120,5.4,Συστήματα Βιώσιμων Μεταφορών
17671,5.3,Περιβαλλοντική Τεχνολογία & CO2
12241,4.3,Στατιστική & Μοντέλα Αποφάσεων
18450,-,Περιβαλλοντική Τεχνολογία & CO2
12243,7.3,Στατιστική & Μοντέλα Αποφάσεων
19010,-,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
10447,-,Περιβαλλοντική Τεχνολογία & CO2
18532,5.9,Συστήματα Βιώσιμων Μεταφορών
18532,-,Επιχειρησιακή Έρευνα & Logistics
12461,-,Συστήματα Βιώσιμων Μεταφορών
18120,6.1,Στατιστική & Μοντέλα Αποφάσεων
12244,3.2,Επιχειρησιακή Έρευνα & Logistics
18531,6.2,Περιβαλλοντική Τεχνολογία & CO2
12133,5.9,Περιβαλλοντική Τεχνολογία & CO2
11742,0.3,Περιβαλλοντική Τεχνολογία & CO2
18450,-,Επιχειρησιακή Έρευνα & Logistics
17671,5.6,Συστήματα Βιώσιμων Μεταφορών
12133,3.4,Συστήματα Βιώσιμων Μεταφορών
12241,3.4,Επιχειρησιακή Έρευνα & Logistics
10447,1.5,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
12243,-,Επιχειρησιακή Έρευνα & Logistics
12461,2.9,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
19002,2.4,Συστήματα Βιώσιμων Μεταφορών
12132,2.5,Συστήματα Βιώσιμων Μεταφορών
12132,8.2,Επιχειρησιακή Έρευνα & Logistics
12131,3.4,Περιβαλλοντική Τεχνολογία & CO2
10434,4.4,Επιχειρησιακή Έρευνα & Logistics
12243,6.4,Στατιστική & Μοντέλα Αποφάσεων
12132,3.0,Στατιστική & Μοντέλα Αποφάσεων
17671,3.9,Επιχειρησιακή Έρευνα & Logistics
18531,3.0,Επιχειρησιακή Έρευνα & Logistics
12351,1.2,Επιχειρησιακή Έρευνα & Logistics
12133,2.7,Περιβαλλοντική Τεχνολογία & CO2
18532,-,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
13123,0.8,Επιχειρησιακή Έρευνα & Logistics
12351,5.2,Συστήματα Βιώσιμων Μεταφορών
18531,2.7,Στατιστική & Μοντέλα Αποφάσεων
12461,8.4,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
10447,2.9,Συστήματα Βιώσιμων Μεταφορών
10447,-,Στατιστική & Μοντέλα Αποφάσεων
12242,5.4,Επιχειρησιακή Έρευνα & Logistics
18532,1.3,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
12133,5.1,Συστήματα Βιώσιμων Μεταφορών
12461,-,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
10434,0.9,Περιβαλλοντική Τεχνολογία & CO2
12243,6.4,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
10447,0.5,Επιχειρησιακή Έρευνα & Logistics
17671,-,Επιχειρησιακή Έρευνα & Logistics
18120,0.8,Επιχειρησιακή Έρευνα & Logistics
12351,-,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
17671,-,Περιβαλλοντική Τεχνολογία & CO2
17671,1.0,Συστήματα Βιώσιμων Μεταφορών
99999,0.7,Επιχειρησιακή Έρευνα & Logistics
18531,0.7,Στατιστική & Μοντέλα Αποφάσεων
12351,3.7,Επιχειρησιακή Έρευνα & Logistics
18450,8.0,Στατιστική & Μοντέλα Αποφάσεων
10447,-,Στατιστική & Μοντέλα Αποφάσεων
12243,2.8,Συστήματα Βιώσιμων Μεταφορών
12242,0.4,Συστήματα Βιώσιμων Μεταφορών
10434,5.7,Περιβαλλοντική Τεχνολογία & CO2
