STUDENT_ID,TK_KATOIKIA,COURSE,GRADE,SKILL,EFFECTIVE_A
STU_001,18648,COURSE_SEM1_MEDIUM,9.5,0.09,0.01
STU_001,18648,COURSE_SEM2_MEDIUM,10.0,0.09,0.07
STU_001,18648,COURSE_SEM2_HARD,8.0,0.09,0.15
STU_001,18648,COURSE_SEM2_EASY,8.0,0.09,0.42
STU_001,18648,COURSE_SEM4_HARD,9.5,0.09,0.17
STU_001,18648,COURSE_SEM4_EASY,3.0,0.09,0.24
STU_002,18453,COURSE_SEM1_MEDIUM,9.0,-0.01,-0.09
STU_002,18453,COURSE_SEM2_MEDIUM,10.0,-0.01,-0.03
STU_002,18453,COURSE_SEM2_HARD,9.5,-0.01,-0.23
STU_002,18453,COURSE_SEM2_EASY,10.0,-0.01,0.32
STU_002,18453,COURSE_SEM4_HARD,2.0,-0.01,-0.47
STU_002,18453,COURSE_SEM4_EASY,10.0,-0.01,0.14
STU_003,11255,COURSE_SEM1_MEDIUM,5.5,-0.1,-0.18
STU_003,11255,COURSE_SEM2_MEDIUM,7.5,-0.1,-0.12
STU_003,11255,COURSE_SEM2_HARD,1.0,-0.1,-0.32
STU_003,11255,COURSE_SEM2_EASY,8.0,-0.1,0.23
STU_003,11255,COURSE_SEM4_HARD,1.5,-0.1,-0.56
STU_003,11255,COURSE_SEM4_EASY,9.5,-0.1,0.05
STU_004,17655,COURSE_SEM1_MEDIUM,5.0,0.07,-0.01
STU_004,17655,COURSE_SEM2_MEDIUM,10.0,0.07,0.05
STU_004,17655,COURSE_SEM2_HARD,9.5,0.07,0.13
STU_004,17655,COURSE_SEM2_EASY,8.0,0.07,0.4
STU_004,17655,COURSE_SEM4_HARD,10.0,0.07,0.15
STU_004,17655,COURSE_SEM4_EASY,3.5,0.07,0.22
STU_005,14341,COURSE_SEM1_MEDIUM,5.0,-0.0,-0.08
STU_005,14341,COURSE_SEM2_MEDIUM,8.0,-0.0,-0.02
STU_005,14341,COURSE_SEM2_HARD,5.0,-0.0,-0.22
STU_005,14341,COURSE_SEM2_EASY,8.0,-0.0,0.33
STU_005,14341,COURSE_SEM4_HARD,3.0,-0.0,0.08
STU_005,14341,COURSE_SEM4_EASY,10.0,-0.0,0.15
STU_006,12133,COURSE_SEM1_MEDIUM,0.0,-0.01,-0.09
STU_006,12133,COURSE_SEM2_MEDIUM,6.0,-0.01,-0.03
STU_006,12133,COURSE_SEM2_HARD,3.0,-0.01,-0.23
STU_006,12133,COURSE_SEM2_EASY,4.5,-0.01,0.32
STU_006,12133,COURSE_SEM4_HARD,2.0,-0.01,-0.47
STU_006,12133,COURSE_SEM4_EASY,10.0,-0.01,0.14
STU_007,17122,COURSE_SEM1_MEDIUM,3.0,-0.07,-0.15
STU_007,17122,COURSE_SEM2_MEDIUM,6.0,-0.07,-0.09
STU_007,17122,COURSE_SEM2_HARD,3.0,-0.07,-0.29
STU_007,17122,COURSE_SEM2_EASY,9.5,-0.07,0.26
STU_007,17122,COURSE_SEM4_HARD,1.0,-0.07,-0.53
STU_007,17122,COURSE_SEM4_EASY,9.0,-0.07,0.08
STU_008,10551,COURSE_SEM1_MEDIUM,9.5,0.02,-0.06
STU_008,10551,COURSE_SEM2_MEDIUM,7.0,0.02,-0.0
STU_008,10551,COURSE_SEM2_HARD,7.5,0.02,0.08
STU_008,10551,COURSE_SEM2_EASY,10.0,0.02,0.35
STU_008,10551,COURSE_SEM4_HARD,2.0,0.02,-0.44
STU_008,10551,COURSE_SEM4_EASY,6.0,0.02,0.17
STU_009,19001,COURSE_SEM1_MEDIUM,5.0,-0.07,-0.15
STU_009,19001,COURSE_SEM2_MEDIUM,2.5,-0.07,-0.09
STU_009,19001,COURSE_SEM2_HARD,1.0,-0.07,-0.29
STU_009,19001,COURSE_SEM2_EASY,9.5,-0.07,0.26
STU_009,19001,COURSE_SEM4_HARD,8.0,-0.07,-0.53
STU_009,19001,COURSE_SEM4_EASY,3.0,-0.07,0.08
STU_010,14122,COURSE_SEM1_MEDIUM,5.5,0.01,-0.07
STU_010,14122,COURSE_SEM2_MEDIUM,1.0,0.01,-0.01
STU_010,14122,COURSE_SEM2_HARD,3.0,0.01,-0.21
STU_010,14122,COURSE_SEM2_EASY,6.5,0.01,0.34
STU_010,14122,COURSE_SEM4_HARD,4.5,0.01,-0.45
STU_010,14122,COURSE_SEM4_EASY,7.5,0.01,0.16
STU_011,10440,COURSE_SEM1_MEDIUM,9.5,0.08,0.0
STU_011,10440,COURSE_SEM2_MEDIUM,10.0,0.08,0.06
STU_011,10440,COURSE_SEM2_HARD,8.5,0.08,0.14
STU_011,10440,COURSE_SEM2_EASY,10.0,0.08,0.41
STU_011,10440,COURSE_SEM4_HARD,9.5,0.08,0.16
STU_011,10440,COURSE_SEM4_EASY,10.0,0.08,0.23
STU_012,19008,COURSE_SEM1_MEDIUM,5.0,0.01,-0.07
STU_012,19008,COURSE_SEM2_MEDIUM,10.0,0.01,-0.01
STU_012,19008,COURSE_SEM2_HARD,5.0,0.01,-0.21
STU_012,19008,COURSE_SEM2_EASY,10.0,0.01,0.34
STU_012,19008,COURSE_SEM4_HARD,1.0,0.01,-0.45
STU_012,19008,COURSE_SEM4_EASY,10.0,0.01,0.16
STU_013,12351,COURSE_SEM1_MEDIUM,3.0,-0.1,-0.18
STU_013,12351,COURSE_SEM2_MEDIUM,6.5,-0.1,-0.12
STU_013,12351,COURSE_SEM2_HARD,0.0,-0.1,-0.32
STU_013,12351,COURSE_SEM2_EASY,5.5,-0.1,0.23
STU_013,12351,COURSE_SEM4_HARD,5.0,-0.1,-0.56
STU_013,12351,COURSE_SEM4_EASY,0.0,-0.1,0.05
STU_014,13344,COURSE_SEM1_MEDIUM,4.5,0.1,0.02
STU_014,13344,COURSE_SEM2_MEDIUM,5.0,0.1,0.08
STU_014,13344,COURSE_SEM2_HARD,5.0,0.1,-0.12
STU_014,13344,COURSE_SEM2_EASY,10.0,0.1,0.43
STU_014,13344,COURSE_SEM4_HARD,0.0,0.1,-0.36
STU_014,13344,COURSE_SEM4_EASY,7.5,0.1,0.25
STU_015,10436,COURSE_SEM1_MEDIUM,8.5,0.08,0.0
STU_015,10436,COURSE_SEM2_MEDIUM,8.5,0.08,0.06
STU_015,10436,COURSE_SEM2_HARD,6.5,0.08,-0.14
STU_015,10436,COURSE_SEM2_EASY,7.5,0.08,0.41
STU_015,10436,COURSE_SEM4_HARD,10.0,0.08,0.16
STU_015,10436,COURSE_SEM4_EASY,10.0,0.08,0.23
